id,address,zip,lat,lon,neighborhood,sale_date,sqft,bedrooms,bathrooms,floors,year_built,renovated,lot_size,garage,pool,school_rating,crime_rate,proximity_km,price,property_tax,hoa_fee
312,6291 Washington Dr,94086,37.76259,-122.390022,Riverside,2021-10-29,1058.31,4,1,2,1912,0,9087.31,0,0,7.9,43.9,2.76,173181.3,1463.93,0.0
313,1852 Cedar Ave,94096,37.774201,-122.424156,Riverside,2023-08-10,2011.39,3,2,2,1967,0,11887.95,2,0,8.6,32.5,0.59,432742.82,4991.31,0.0
314,8136 River Rd,94115,37.724574,-122.429325,SuburbB,2024-04-09,2090.8,3,2,2,1940,1,10639.35,1,0,7.3,58.6,5.11,473064.39,3939.77,0.0
315,2677 Lake Ln,94097,37.749878,-122.474568,Downtown,2022-12-29,1690.49,2,1,1,1969,1,5804.88,0,1,9.3,43.8,5.28,414154.09,4285.46,0.0
316,6227 Maple Ln,94090,37.757961,-122.470913,OldTown,2024-03-14,2795.53,4,1,2,2012,0,5387.64,1,0,8.5,56.9,4.66,1077614.99,8296.19,0.0
317,1762 Oak Ave,94110,37.741986,-122.422299,Uptown,2022-08-11,1691.99,5,1,2,2021,0,3429.56,1,0,5.7,34.8,3.12,431127.94,6179.93,0.0
318,2117 Hill Ln,94107,37.754924,-122.377787,SuburbA,2024-02-29,2457.56,4,3,1,1961,0,6566.85,2,0,9.8,58.5,4.06,673375.53,10025.58,0.0
319,8552 Oak Rd,94100,37.764323,-122.451579,Downtown,2024-07-21,1337.98,3,2,2,1991,0,7745.01,1,0,7.1,41.6,2.84,400498.7,5052.97,150.0
320,5362 Elm St,94091,37.749998,-122.387037,OldTown,2022-08-03,2096.79,4,3,2,2015,0,1724.15,1,0,2.6,60.9,3.65,461197.13,4813.65,0.0
321,1186 Washington Dr,94094,37.764212,-122.428117,SuburbA,2021-10-22,1659.45,1,4,1,1980,0,5137.36,1,0,7.7,35.8,0.96,350131.67,3998.33,0.0
322,7651 Lake St,94091,37.776828,-122.383448,SuburbA,2024-10-31,2191.77,1,2,2,1961,1,5443.22,1,0,8.7,33.0,3.3,723792.45,7531.5,0.0
323,3224 Sunset Rd,94106,37.76358,-122.425907,Uptown,2025-05-08,1481.21,3,2,3,1990,1,9089.46,1,0,9.2,42.5,0.88,411756.96,6044.82,0.0
324,9839 Pine St,94090,37.76701,-122.420445,OldTown,2024-10-08,2196.24,4,2,1,2018,0,8001.01,2,0,5.2,58.6,0.33,387991.32,2247.54,0.0
325,5775 Cedar Ave,94113,37.747272,-122.457865,SuburbB,2022-02-05,1747.09,5,1,1,1989,1,2622.28,1,0,7.7,58.5,4.17,291385.13,4309.96,0.0
326,7739 Oak Ln,94112,37.764142,-122.391001,OldTown,2023-10-20,3000.96,2,1,1,1932,0,13423.15,1,0,5.0,66.6,2.63,546873.66,4702.23,0.0
327,2245 Oak St,94114,37.740939,-122.427368,Downtown,2025-08-16,1382.11,3,2,3,2016,1,5496.52,1,0,8.4,37.8,3.29,1061064.25,14987.25,0.0
328,7031 Oak Rd,94116,37.775099,-122.44309,Riverside,2023-02-04,2137.15,2,2,2,2015,1,10838.45,0,0,5.9,13.5,2.1,656380.19,3346.44,0.0
329,1105 Hill Rd,94107,37.765934,-122.425997,OldTown,2024-06-07,1887.31,2,1,2,1922,1,13166.98,0,0,7.4,54.8,0.69,210122.03,2999.89,0.0
330,1714 Maple Rd,94096,37.770735,-122.42381,Downtown,2022-07-20,2705.49,2,2,1,2021,0,10468.06,0,1,9.3,38.1,0.34,1105431.28,7363.83,300.0
331,7114 Oak Blvd,94119,37.76933,-122.377217,OldTown,2024-05-18,1249.2,4,1,3,1902,0,11343.69,1,0,8.4,60.5,3.75,94329.8,686.95,0.0
332,8684 Cedar Rd,94091,37.769946,-122.421568,SuburbA,2023-01-11,1973.86,3,4,1,1932,1,5165.13,1,0,4.8,60.8,0.14,288723.64,3583.39,0.0
333,5835 Pine St,94094,37.784167,-122.413929,Riverside,2026-04-04,2957.59,4,1,1,1996,1,10338.88,1,0,8.7,40.2,1.66,1181201.33,16961.96,0.0
334,9971 River Blvd,94101,37.780683,-122.381662,SuburbA,2023-08-25,809.26,3,2,3,1984,0,11766.86,1,1,8.4,44.2,3.57,292482.32,4132.43,0.0
335,7221 Oak Dr,94099,37.784525,-122.452843,SuburbB,2025-10-29,2147.13,1,1,2,1976,1,12788.45,1,0,5.9,60.5,3.3,498746.06,7182.42,0.0
336,6078 Oak Rd,94125,37.752091,-122.337868,SuburbB,2023-05-12,1784.24,4,2,1,1928,1,8472.29,1,0,2.8,60.0,7.48,206199.97,2705.14,0.0
337,1456 River Ln,94101,37.754031,-122.467792,SuburbB,2024-05-15,1366.32,5,3,1,1952,0,12957.15,0,0,6.7,60.7,4.55,301131.82,3988.0,0.0
338,5329 Lake Ln,94122,37.735937,-122.386048,SuburbA,2023-12-09,1530.18,3,1,2,1916,1,4462.79,1,0,8.3,57.0,4.81,220830.57,2614.16,0.0
339,5191 Cedar Dr,94123,37.719613,-122.437367,Riverside,2024-05-11,2015.08,4,2,2,1900,0,6348.08,1,1,8.3,42.2,5.8,240638.43,2098.85,0.0
340,8681 Pine Ln,94111,37.700652,-122.379292,Downtown,2024-08-17,1555.7,3,3,1,1943,1,10365.15,1,0,6.2,39.1,8.49,621174.38,7112.89,500.0
341,4246 Maple Ln,94124,37.780688,-122.413282,SuburbB,2021-08-10,1811.31,5,2,3,1908,0,8592.16,0,0,5.7,72.2,1.32,199490.97,1884.24,0.0
342,4224 Sunset Rd,94103,37.738659,-122.4458,SuburbB,2023-09-07,2863.2,2,3,3,1922,0,13392.44,1,0,8.3,62.7,4.15,595683.47,4510.64,0.0
343,6873 Elm Ave,94122,37.790396,-122.365056,SuburbB,2021-10-26,2440.23,3,3,3,2018,1,7862.81,1,1,6.1,54.7,5.33,723889.67,4492.07,0.0
344,7337 Pine Blvd,94118,37.759627,-122.437169,Riverside,2021-06-05,674.13,5,2,3,2010,0,6328.56,1,1,7.4,46.3,1.9,220375.28,2363.55,0.0
345,5162 Elm Blvd,94092,37.781043,-122.472159,Uptown,2023-12-18,1447.72,4,4,2,1965,0,2538.44,1,0,7.1,42.5,4.74,527302.36,6372.97,0.0
346,4143 Maple Ave,94123,37.757828,-122.486251,Riverside,2026-04-15,1009.85,4,2,2,1989,0,11154.92,0,0,7.2,30.5,5.97,296112.42,3873.79,0.0
347,9847 Washington Dr,94105,37.781138,-122.419808,Riverside,2024-03-14,2913.97,2,3,2,1962,1,7483.12,0,1,6.5,53.9,1.24,805425.46,9304.53,0.0
348,2111 Washington Rd,94112,37.759907,-122.436418,SuburbB,2024-12-06,1389.24,4,1,1,1932,0,6378.04,1,0,4.8,63.5,1.82,169535.57,1158.72,0.0
349,7665 River Rd,94091,37.768621,-122.440767,Riverside,2021-11-18,1262.47,2,3,3,1936,0,10595.88,0,0,7.6,57.4,1.83,248491.61,3123.99,0.0
350,6205 Lake Dr,94113,37.745307,-122.40878,OldTown,2024-03-24,2990.68,3,3,1,1939,0,15456.72,1,1,4.1,56.5,2.91,446639.96,4945.97,0.0
351,9674 Washington Ln,94109,37.775152,-122.358491,Downtown,2025-11-03,2420.87,3,2,1,2000,0,5278.84,1,0,10.0,41.5,5.43,1649066.47,15861.33,0.0
352,5969 Maple Blvd,94109,37.805587,-122.392069,OldTown,2025-11-30,1601.75,1,1,1,1946,0,5624.8,2,0,6.6,59.1,4.65,319700.08,3408.93,0.0
353,5846 Elm Rd,94085,37.765847,-122.471093,Uptown,2023-06-21,822.54,4,3,2,1974,1,11470.69,2,0,4.8,44.7,4.51,256044.75,2895.57,0.0
354,6001 Lake Rd,94087,37.776408,-122.46771,Riverside,2025-10-09,2679.03,4,1,3,1927,0,11845.07,0,1,9.6,37.3,4.25,663375.9,7624.22,0.0
355,9982 Maple Dr,94103,37.748407,-122.449023,OldTown,2024-03-31,1684.99,2,4,1,1928,0,405.88,0,1,7.1,54.0,3.5,186702.17,2569.16,0.0
356,8953 Sunset St,94092,37.761975,-122.439901,Downtown,2022-07-17,2577.89,6,1,1,2015,1,10494.63,1,0,10.0,25.0,1.96,864253.86,9253.99,150.0
357,5520 Lake Blvd,94109,37.756661,-122.441272,Downtown,2025-02-26,744.77,2,2,1,1999,0,6950.36,0,0,7.7,44.4,2.38,266947.21,2289.53,0.0
358,5015 Elm St,94098,37.797746,-122.415415,OldTown,2024-01-29,1314.27,4,4,1,2017,0,8914.23,1,0,6.1,57.5,3.11,113538.31,1450.39,0.0
359,3676 Maple St,94099,37.766336,-122.440925,Uptown,2026-04-06,1916.07,2,1,3,1997,0,7398.24,1,0,7.6,42.4,1.88,389698.2,4033.43,0.0
360,2992 Maple Dr,94108,37.801334,-122.378357,Uptown,2024-08-19,2472.0,3,1,1,1962,0,7617.6,1,1,7.7,40.1,5.04,337466.84,2406.14,0.0
361,8942 Hill St,94124,37.723549,-122.451673,OldTown,2024-08-17,2143.42,5,3,2,1935,0,4673.57,1,0,6.3,55.6,5.86,419078.94,2538.35,0.0
362,8890 Sunset Dr,94124,37.807712,-122.428884,Downtown,2024-05-02,1441.72,3,2,2,1904,0,2291.71,0,0,8.0,27.9,4.26,217365.99,1146.22,0.0
363,990 Elm Ave,94091,37.745326,-122.389879,SuburbB,2022-12-03,2665.81,2,1,3,1959,0,1426.0,1,1,6.9,61.5,3.81,514681.6,6537.94,0.0
364,6954 Cedar St,94089,37.731091,-122.455739,SuburbA,2024-05-04,1874.54,3,1,2,1914,1,5303.08,1,0,5.9,62.0,5.34,218163.93,1459.94,0.0
365,1818 Oak Ln,94109,37.803374,-122.434729,OldTown,2022-01-23,2605.38,3,3,3,2012,1,7376.86,1,0,8.3,76.4,3.92,868423.66,4873.48,0.0
366,702 Pine Rd,94120,37.800963,-122.45195,SuburbB,2021-12-16,1609.2,3,3,1,2006,0,13139.72,0,0,4.5,63.3,4.44,166530.83,2303.26,0.0
367,492 Elm Rd,94108,37.774039,-122.433509,SuburbA,2022-12-08,1482.96,4,2,1,2016,1,14280.7,1,0,8.0,43.9,1.27,583258.08,4170.1,0.0
368,9221 Hill Ave,94088,37.738418,-122.480831,SuburbA,2024-02-05,3152.86,3,2,3,2001,0,1838.03,0,0,8.7,57.8,6.39,1875898.14,17106.41,0.0
369,6893 Elm Ave,94102,37.81098,-122.371142,SuburbB,2024-04-27,2859.38,4,4,2,1974,0,1730.97,2,0,4.4,48.8,6.25,505474.02,5695.16,0.0
370,8884 Pine Ln,94110,37.76169,-122.456922,Downtown,2022-04-21,847.24,4,2,3,1928,1,839.97,2,0,6.8,27.0,3.37,223470.46,2124.31,500.0
371,899 Oak Rd,94121,37.756981,-122.415031,Downtown,2022-07-31,1581.48,4,1,1,2006,1,9247.44,1,0,8.1,28.4,1.51,699633.78,4577.24,0.0
372,6859 Hill Rd,94125,37.802848,-122.393743,SuburbB,2023-01-21,2172.28,2,2,3,1998,1,2611.87,0,0,5.4,57.0,4.31,681312.81,5818.87,0.0
373,2507 Maple Blvd,94091,37.773534,-122.351506,SuburbA,2026-01-31,1369.09,5,2,1,1918,0,6355.0,1,1,6.8,33.7,6.02,246520.12,3372.81,0.0
374,2209 Lake Ave,94102,37.767281,-122.472223,Uptown,2026-01-19,4192.29,3,3,1,1958,1,10428.23,1,0,6.4,26.2,4.59,636096.27,5124.53,0.0
375,7669 Sunset Ln,94094,37.731439,-122.465694,Downtown,2026-03-05,1772.29,3,4,2,2018,0,7267.4,2,1,6.4,24.6,5.86,487611.1,6404.82,0.0
376,3467 Washington Ave,94103,37.794062,-122.407219,OldTown,2023-03-13,1038.64,3,2,1,1966,0,6419.34,1,0,6.7,88.0,2.9,194226.71,2577.45,0.0
377,608 Oak Ave,94114,37.785212,-122.443875,Riverside,2021-11-11,443.4,5,3,2,1944,0,7969.1,1,0,8.0,49.8,2.69,64595.55,702.28,0.0
378,6426 Oak Blvd,94110,37.767695,-122.394156,Uptown,2025-08-31,2393.69,1,3,1,1928,0,9661.93,1,0,9.3,35.8,2.28,250737.84,1383.04,0.0
379,1323 Maple Blvd,94121,37.736104,-122.400263,Uptown,2025-04-09,3187.82,3,4,3,1942,0,10998.81,1,0,4.9,44.6,4.14,632091.15,5995.73,0.0
380,1619 Elm Ln,94099,37.741303,-122.405923,Riverside,2026-01-02,2633.69,3,3,2,1914,1,1677.0,1,0,9.0,43.5,3.42,642145.39,6196.0,0.0
381,3285 Washington Blvd,94090,37.779457,-122.431192,Downtown,2025-06-22,1983.05,2,1,2,1975,0,10305.21,1,0,5.9,46.6,1.44,724306.69,4497.36,0.0
382,5074 Sunset Ln,94092,37.779162,-122.38559,OldTown,2024-11-18,2446.71,1,3,3,1995,0,2861.92,0,0,5.9,50.4,3.19,584775.95,6036.97,0.0
383,9004 Oak Dr,94099,37.751001,-122.431398,Downtown,2023-02-25,2104.44,2,1,2,1922,0,9925.63,2,0,7.1,44.6,2.33,407224.09,3095.77,0.0
384,7701 Sunset Blvd,94093,37.794962,-122.425396,SuburbB,2022-10-31,1815.21,5,2,3,1901,0,13848.6,2,0,5.9,55.4,2.81,156301.53,1776.55,0.0
385,2898 Pine Ave,94120,37.749719,-122.458279,Riverside,2024-11-26,2515.24,3,1,1,2017,0,1374.88,1,0,7.4,50.4,4.04,755114.74,8915.44,0.0
386,4229 Oak Rd,94101,37.742219,-122.382961,Riverside,2021-10-05,1799.21,3,2,1,1996,0,11826.13,1,1,9.4,38.1,4.48,704799.61,5077.12,0.0
387,9733 Hill Blvd,94097,37.764731,-122.355594,Uptown,2024-05-06,2953.21,4,3,1,1925,0,8319.66,1,0,10.0,41.0,5.68,1132042.67,6508.33,0.0
388,3174 Pine Blvd,94115,37.757745,-122.395856,SuburbA,2025-06-30,2439.98,5,2,1,1967,0,8156.89,1,0,7.7,48.0,2.52,489242.82,2993.81,0.0
389,1158 River Ave,94124,37.778255,-122.430561,Riverside,2021-11-03,300,3,3,2,2007,0,3192.83,2,0,8.0,24.7,1.3,101039.66,1028.16,0.0
390,4801 Sunset St,94120,37.742656,-122.381603,Riverside,2021-08-24,1077.08,2,3,3,1930,0,9317.38,2,0,7.1,45.1,4.53,165061.95,2249.86,0.0
391,5754 Cedar Dr,94102,37.774124,-122.386761,OldTown,2021-09-05,1756.49,3,2,3,1957,0,8959.83,1,0,7.7,46.3,2.95,330567.29,3965.14,0.0
392,7861 Maple Blvd,94094,37.781055,-122.447285,Downtown,2022-03-09,1517.46,2,2,3,2016,0,6215.64,1,0,10.0,30.8,2.69,318041.17,4623.89,0.0
393,4494 Hill Rd,94091,37.743565,-122.388887,SuburbA,2025-03-15,1480.78,3,2,1,1925,1,7595.48,1,0,8.4,70.3,4.01,197059.29,2680.54,0.0
394,3505 Elm St,94101,37.790399,-122.462636,SuburbA,2023-03-15,2194.43,4,1,3,1964,0,287.66,2,0,8.4,36.6,4.37,287344.6,2000.7,0.0
395,6889 Oak Rd,94105,37.756353,-122.418354,Riverside,2021-08-22,2236.56,4,3,1,1959,0,7614.09,0,0,10.0,35.3,1.52,204418.41,1744.21,0.0
396,4752 Elm Ave,94088,37.757736,-122.412263,Riverside,2021-12-14,2856.84,2,2,1,1935,0,2419.15,1,0,8.6,29.2,1.52,394340.2,3838.69,0.0
397,1213 Elm Rd,94090,37.785306,-122.386807,OldTown,2024-04-30,1362.87,3,1,1,1915,1,2167.81,0,0,6.9,46.8,3.37,139462.37,760.09,0.0
398,3401 Cedar Ln,94085,37.771956,-122.418864,Downtown,2025-08-16,1450.94,3,3,2,2005,0,2916.07,1,0,10.0,31.8,0.24,664008.53,8844.45,300.0
399,592 Washington Ave,94086,37.795433,-122.435207,SuburbB,2025-11-21,3524.94,5,3,3,1962,0,4387.77,0,0,6.9,50.7,3.12,566295.81,5317.08,0.0
400,5316 Oak Blvd,94116,37.793771,-122.440561,SuburbB,2025-08-26,1119.59,2,2,2,1903,0,4032.9,1,1,6.1,58.2,3.2,79672.19,561.63,0.0
401,8633 Lake Dr,94106,37.734844,-122.476012,Riverside,2025-01-09,710.03,4,3,1,1905,0,3197.37,1,0,6.1,47.6,6.28,160786.51,975.56,0.0
402,8957 River Ave,94087,37.76776,-122.395777,OldTown,2026-02-26,1505.48,4,2,2,2015,0,4110.55,1,0,7.8,52.0,2.14,563528.05,5852.84,0.0
403,5963 River Dr,94116,37.760026,-122.410135,Uptown,2022-08-26,1226.22,3,1,2,1975,1,12085.84,1,0,9.5,62.0,1.41,487381.42,4121.05,0.0
404,8105 Lake St,94125,37.728727,-122.410073,Uptown,2024-05-26,2262.94,4,2,3,1980,1,9907.17,1,0,10.0,49.2,4.66,788679.21,11202.42,0.0
405,5707 Washington Ave,94119,37.776028,-122.416634,SuburbB,2022-05-07,2170.22,4,1,1,1957,1,7482.49,2,0,6.1,45.9,0.73,646606.29,7636.7,0.0
406,4261 Sunset Dr,94118,37.761625,-122.461934,SuburbB,2022-10-18,1117.9,3,2,2,2018,0,14528.03,0,0,5.3,55.2,3.79,375695.73,3414.31,0.0
407,5742 Lake Ln,94090,37.762294,-122.414462,SuburbA,2024-01-20,1492.73,4,1,1,1993,1,9306.29,2,0,8.0,41.1,0.98,335785.71,4674.37,0.0
408,440 Lake Rd,94088,37.804027,-122.39908,SuburbA,2025-03-21,2073.58,4,2,3,1996,0,5016.38,1,0,8.4,56.7,4.2,477063.57,6939.55,0.0
409,9904 Maple Rd,94094,37.746685,-122.423903,SuburbB,2025-09-27,2647.65,4,1,1,1978,1,385.65,0,0,5.0,63.5,2.61,525660.87,5601.21,0.0
410,7850 Lake St,94107,37.735984,-122.407232,SuburbB,2023-12-12,822.64,4,2,3,1980,0,9704.56,2,0,8.9,38.3,3.94,251857.47,3320.75,0.0
411,2093 Elm St,94100,37.796875,-122.465872,SuburbB,2025-07-12,2059.86,4,4,3,1919,0,6189.71,1,0,7.3,59.3,5.01,228976.34,1965.36,0.0
412,7025 Cedar Dr,94098,37.810097,-122.447619,SuburbB,2023-06-30,1629.41,2,2,2,1914,1,12698.95,1,0,7.9,40.4,5.07,560046.8,4758.02,0.0
413,4659 Cedar Rd,94085,37.764206,-122.364349,SuburbB,2026-04-06,1832.15,2,2,1,1906,1,4347.48,0,0,7.2,43.1,4.93,329276.94,3257.12,0.0
414,2086 Maple Dr,94118,37.79893,-122.460334,SuburbA,2021-07-26,1991.95,4,1,1,1935,0,4618.15,1,0,5.6,51.3,4.78,112212.64,1657.4,0.0
415,7876 Washington Ave,94110,37.77043,-122.400756,OldTown,2021-05-16,974.43,3,4,2,2009,0,7727.79,2,1,7.2,59.4,1.69,303996.36,2707.77,0.0
416,2267 Cedar Dr,94123,37.737596,-122.369318,OldTown,2024-11-10,2568.44,2,2,3,1986,1,10506.2,1,0,4.1,47.6,5.72,495801.5,5030.65,0.0
417,5040 Pine Blvd,94112,37.772876,-122.404928,Riverside,2022-12-01,2225.6,2,2,2,1913,1,4016.34,0,0,9.3,48.6,1.36,322787.97,2317.39,0.0
418,4788 Lake Rd,94120,37.753137,-122.418888,SuburbA,2022-03-03,2148.78,4,2,2,1900,0,8263.88,0,0,7.6,44.1,1.87,294099.57,3376.4,0.0
419,7186 Cedar St,94110,37.761193,-122.41791,SuburbA,2024-03-13,896.97,3,2,3,1972,0,9786.23,1,1,7.5,65.8,0.99,301430.27,3718.69,0.0
420,6258 Washington Ave,94123,37.815653,-122.405536,Riverside,2021-05-06,1712.59,4,1,3,2012,0,8147.55,1,0,9.6,31.0,5.22,587944.3,7283.67,0.0
421,9006 River Ln,94116,37.741742,-122.419603,SuburbA,2025-11-20,1492.62,3,3,2,1901,0,12992.41,0,0,5.5,70.1,3.14,357816.47,1869.16,0.0
422,4389 Washington Dr,94100,37.760281,-122.395586,OldTown,2024-01-09,1696.23,4,2,3,1940,0,6400.3,2,0,6.0,49.9,2.4,451355.98,3776.68,0.0
423,5518 Sunset St,94097,37.762921,-122.380087,OldTown,2021-09-25,2589.0,4,2,3,1970,0,8097.68,1,0,4.4,60.7,3.59,396283.1,2239.2,0.0
424,4490 Pine St,94114,37.765233,-122.411843,Uptown,2022-04-28,1362.38,3,1,2,1936,0,9165.07,2,0,8.7,17.4,0.89,186654.31,1168.36,0.0
425,2980 Cedar Dr,94099,37.762811,-122.423235,OldTown,2024-02-14,2137.66,3,3,2,2017,0,6533.21,1,0,5.1,59.8,0.85,485431.26,5758.41,0.0
426,5158 River Rd,94114,37.777291,-122.413856,Riverside,2025-06-30,1229.04,1,1,2,2017,0,3933.34,1,0,4.8,39.3,0.97,459126.49,4227.5,0.0
427,7549 Maple Blvd,94103,37.759714,-122.456418,Downtown,2025-08-01,3221.49,5,1,1,1917,0,4807.23,2,0,10.0,35.1,3.39,323368.15,2865.67,0.0
428,1603 Maple Blvd,94114,37.782819,-122.397197,OldTown,2023-02-27,1966.62,4,1,1,1975,1,1630.52,2,0,7.0,56.5,2.46,499839.39,5492.17,0.0
429,5607 Oak Rd,94118,37.800318,-122.392991,Downtown,2024-02-12,1585.71,2,1,2,1943,0,7367.59,0,0,8.0,39.7,4.12,271020.06,1719.93,300.0
430,8473 Lake Dr,94105,37.761744,-122.414941,Uptown,2024-08-09,1381.49,2,2,2,1903,1,6740.4,1,0,5.9,43.0,1.02,175490.1,1620.11,0.0
431,6963 Oak St,94102,37.769971,-122.417455,Riverside,2025-05-18,1359.39,4,1,3,1943,0,9698.46,1,0,9.1,62.4,0.22,274506.04,2366.86,0.0
432,2052 Maple Ln,94093,37.762412,-122.436664,SuburbA,2022-08-28,1290.08,4,1,2,1901,0,10606.09,1,0,7.7,27.7,1.69,168459.03,1172.93,0.0
433,4149 Washington Ln,94105,37.787223,-122.41563,Riverside,2024-09-02,1506.6,2,2,2,1987,0,9139.41,2,0,8.1,34.7,1.95,354741.66,4232.55,0.0
434,3800 Elm Ln,94102,37.787156,-122.457121,Uptown,2022-09-26,1420.84,3,4,3,2016,0,10404.14,2,0,9.3,43.8,3.77,430668.59,2680.38,300.0
435,321 Elm Ave,94121,37.745459,-122.428738,SuburbB,2022-02-23,1986.71,3,1,2,1998,0,8742.6,1,0,8.0,34.8,2.83,370949.56,4121.35,0.0
436,4585 Hill Blvd,94114,37.766231,-122.438816,Uptown,2022-08-26,1343.38,5,1,1,1927,0,2065.14,2,0,7.1,35.8,1.7,188806.24,2758.5,0.0
437,8583 Oak Ln,94093,37.768956,-122.464129,Uptown,2021-07-22,1342.84,4,1,1,1919,1,7092.59,1,0,9.5,41.3,3.87,290949.3,3453.15,0.0
438,4456 Elm Rd,94085,37.772441,-122.435102,SuburbB,2022-04-11,2336.28,3,1,3,2000,0,14756.0,1,0,6.0,63.6,1.35,333689.27,3165.32,0.0
439,3038 Lake St,94124,37.765621,-122.381619,SuburbA,2023-02-10,2330.31,2,3,3,1996,0,12798.13,1,0,4.3,68.3,3.4,955299.26,12483.64,0.0
440,6166 Lake Ln,94085,37.768518,-122.445978,SuburbA,2024-12-19,1540.26,3,1,1,1931,1,5233.01,1,0,6.0,44.4,2.29,394304.25,4112.45,0.0
441,9260 Maple St,94088,37.764754,-122.396533,Downtown,2026-03-29,1109.22,2,2,2,1981,0,10388.57,2,0,8.9,45.1,2.14,175263.23,1934.64,0.0
442,360 Maple Dr,94105,37.751812,-122.428042,Downtown,2023-12-24,1405.17,2,1,3,1953,0,10647.83,1,0,10.0,35.7,2.14,214862.95,3216.53,150.0
443,2247 Maple St,94116,37.783015,-122.464175,SuburbA,2023-06-01,1971.29,2,3,3,1963,0,9678.47,2,0,6.4,43.0,4.14,545253.74,5466.75,0.0
444,941 Maple Ln,94091,37.77113,-122.406624,Riverside,2024-10-25,2669.12,5,1,3,1923,0,5160.85,2,0,8.2,38.8,1.18,723114.76,10824.14,0.0
445,7369 Maple Ave,94123,37.756894,-122.385994,Riverside,2025-11-21,2296.98,5,3,3,1949,1,6565.79,1,0,7.2,30.3,3.32,343328.97,4121.29,0.0
446,2653 Hill Ave,94099,37.783586,-122.420576,SuburbA,2023-06-13,3116.81,3,2,2,1955,1,8165.78,2,0,8.4,48.0,1.51,795708.34,7673.86,0.0
447,735 Washington Rd,94087,37.756888,-122.433911,SuburbB,2022-03-07,2966.6,1,4,1,1910,0,4260.36,1,0,5.2,66.6,1.9,309852.2,1650.85,0.0
448,3367 Maple Blvd,94118,37.794803,-122.426859,Riverside,2024-03-20,1426.1,3,2,2,1908,1,11489.35,1,0,7.8,49.2,2.82,339860.77,2265.05,0.0
449,8350 Hill Rd,94118,37.759173,-122.366506,SuburbA,2026-03-07,3434.63,2,2,2,1933,0,3193.14,1,0,8.8,45.5,4.85,571540.78,5366.05,0.0
450,1679 Lake Dr,94110,37.790628,-122.445366,Downtown,2026-01-08,1962.09,3,4,1,2006,1,7640.27,1,0,9.6,32.5,3.19,774927.0,5510.84,300.0
451,1371 Oak Blvd,94110,37.796858,-122.429585,Riverside,2023-09-12,895.27,3,2,2,1931,0,11954.26,1,0,9.3,14.7,3.1,219093.63,3230.37,0.0
452,4004 Washington St,94090,37.781304,-122.444743,OldTown,2025-03-29,2035.72,4,3,3,1947,0,5497.8,1,0,7.4,62.0,2.51,319210.03,2919.03,0.0
453,182 Pine St,94100,37.756672,-122.380952,Riverside,2025-10-19,2870.43,2,3,2,1917,0,7645.58,1,0,9.3,48.1,3.73,531163.44,5950.42,0.0
454,8483 Cedar St,94088,37.778704,-122.366231,SuburbB,2025-04-23,1474.39,2,1,1,1925,0,13231.97,1,0,5.7,67.2,4.82,204779.71,1504.22,0.0
455,5103 Maple Dr,94098,37.781829,-122.421115,Riverside,2026-01-20,2163.51,3,1,2,2019,1,3367.17,1,0,7.1,22.7,1.32,1346698.38,19698.42,0.0
456,156 Maple Blvd,94095,37.796055,-122.49278,SuburbA,2026-01-17,1496.96,3,2,2,2020,1,910.34,2,0,5.4,61.5,7.01,431595.57,3716.6,0.0
457,6490 Cedar Rd,94090,37.787458,-122.396876,SuburbA,2021-08-10,2796.92,4,1,2,1921,0,8088.73,1,0,8.0,66.3,2.81,401390.9,3020.06,0.0
458,7159 Hill St,94106,37.772671,-122.396846,OldTown,2023-02-03,2250.66,3,1,3,1976,0,4166.22,1,0,5.6,57.4,2.05,205953.73,3013.31,0.0
459,5858 Pine Ln,94100,37.763572,-122.40868,SuburbA,2022-03-29,1236.67,3,3,2,2018,1,6376.77,1,0,8.9,37.2,1.22,495882.56,4787.12,0.0
460,835 Oak Ave,94111,37.723751,-122.419438,SuburbA,2025-02-11,2454.15,4,1,1,1907,0,4514.22,0,0,6.6,54.2,5.13,289366.22,3351.12,0.0
461,7315 Maple Ln,94090,37.74768,-122.377736,SuburbA,2022-10-18,2352.61,3,5,3,1986,0,2412.17,1,0,5.3,59.7,4.46,514184.93,4057.12,0.0
462,2553 River Rd,94115,37.791575,-122.403731,SuburbA,2022-03-26,1862.06,2,1,1,1905,0,3239.52,1,0,8.8,55.9,2.79,328300.24,4060.44,0.0
463,433 Washington Rd,94123,37.770461,-122.45764,OldTown,2023-07-21,2187.92,4,3,1,1924,1,8616.08,1,0,3.7,62.3,3.3,203256.25,2618.56,0.0
464,2938 River Dr,94124,37.798805,-122.460484,SuburbA,2023-10-20,2241.34,2,2,3,1908,1,5935.31,1,1,6.1,46.7,4.78,313910.4,2723.75,0.0
465,2877 Cedar Ln,94117,37.786861,-122.455661,Downtown,2021-06-29,1856.87,3,1,3,1997,0,4518.75,1,0,7.1,31.4,3.65,652618.91,9713.97,0.0
466,1206 Cedar Ave,94116,37.770366,-122.441498,SuburbB,2023-08-29,1701.12,1,2,3,2011,0,6865.6,1,0,7.1,47.1,1.89,302599.12,2936.2,0.0
467,1106 Pine Rd,94091,37.779177,-122.438733,Uptown,2025-12-27,3074.38,2,1,2,1916,1,4720.83,1,0,7.8,46.3,1.93,401559.28,5939.45,0.0
